,content,title
0,"Nigeria needs to split. The same set of people, boko haram, bandit, religious bigotry, terrorism and the worst presidents in the worldWhat is the benefit the south and middle belt have with being joined with the north.This makes no sense",Nigeria Is Not A Country
1,"Dennis Naku13 May 2022A Federal High Court sitting in Port Harcourt has granted bail to a governorship aspirant of the Peoples Democratic Party in Rivers State, Hon. Farah Dagogo.Justice E. Obile granted Dagogo bail in fundamental rights action and ex parte application sought by his legal team.Justice Obile in his ruling ordered the state Commissioner of Police, Friday Eboka, Deputy Commissioner of Police in charge of the State Criminal and Investigation Department, Deputy Superintendent of Police, the state’s Attorney General, and Chief Magistrate, Amadi Nna, to release Dagogo from police detention and restore his personal liberty.The court also issued an order of interim injunction restraining the respondents, especially the police, the commandant of the Government House, DSP Efeturi Irikefe, the fourth respondent, the state Attorney General, and Chief Magistrate A. I. Amadi Nna from further instigating, threatening, harassing and invading the personal liberty of Dagogo.The court equally restrained the respondent from further obstructing the PDP governorship aspirant or hindering him, detaining him in custody from additionally attending his screening in party primaries as well as other electoral processes.The lead lawyer, Dr Innocent Ekwe spoke shortly after the court proceedings, saying the bail application was heard and determined.“The police arrive this evening at the federal high court bringing a letter from the office of the DCR to confirm and verify that the order and warrant admitting him to bail is from the court.“That verification has just been done. Our client is now to be released by the Commissioner of Police.“I filed the proceedings at the federal high court, an application for his bail which was heard and determined. And the terms of the bail have been fulfilled,” he stated.Ekwe pointed out that the PDP knows the consequences of not giving Hon. Dagogo who represents Degema-Bonny federal constituency in the House of Representatives an opportunity to be screened as a governorship aspirant in the state.“And the fact that he was not screened due to the fact that he was abducted from the venue.“We promptly write to the party informing them of the scenario and asking them to give him another fate for him to be screened.“And we know the parry will screen him now that he has been given bail because the party knows the consequences of excluding him unlawfully.“The people who are pursuing prosecution may wish to continue, but we have filed a preliminary objection challenging the information as incompetent and has been politically motivated.https://punchng.com/just-in-court-grants-bail-to-embattled-rivers-pdp-gov-aspirant-dagogo/","Court Grants Bail To Embattled Rivers PDP Governor Aspirant, Hon. Farah Dagogo"
2,Good morning guys. We all know most Nigerian policians are corrupt and wicked if not all. But come 2023 presidential elections who would you vote for and why?For me I will vote for Tinubu because of his track record and experience in governance.,Who Would You Vote For Come 2023?
3,BREAKING: 'Going home'Georgia breakaway region Makes Move on joining Russia  https://bestnewsng.online/going-home-georgia-breakaway-region-to-vote-on-joining-russia,BREAKING: 'going Home'georgia Breakaway Region Makes Move On Joining Russia
4,"The Ebonyi Governor, David Umahi would face the Presidential Screening Committee on May 14 in Abuja ahead of  the 2023 presidential poll.Umahi also the Chairman, Southeast Governors’ forum is to present academic credentials during the exercise.The Special Assistant to the Governor on Media and Publicity, Francis Nwaze, disclosed this in Abakaliki on Friday in a statement.“Governor Umahi would also have the opportunity to inform the Committee, the APC members, and Nigerians in general about how he would replicate his transformation of Abakaliki across the Federation if elected President in 2023.“You would recall that Governor Umahi within seven years onboard as Governor has been able to turn around the face of Abakaliki and virtually all the 13 Local Government Areas of the State.“Within the period under review, the Governor has built over seventeen long span-twin flyovers in parts of the State.""Constructed thousands of kilometers of roads in 8-inches concrete pavement, constructed from the scratch the newly commissioned King David University of Medical Sciences Uburu.""Constructed the biggest international shopping mall, the Christian Ecumenical Centre Abakaliki and the Margaret Umahi International Market.“Other legacy projects executed by the Governor's administration include the Industrial Clusters, one in each of the three Senatorial Zones of the State, the School of Nursing and Midwifery Uburu.""The ongoing construction of the Ebonyi State International Airport, the newly commissioned biggest Executive Council Chambers, the new Government House complex as well as the ongoing construction of the 199 kilometers of the Abakaliki Ring Road Project.“It is hoped that Governor Umahi would scale through the first hurdle of the screening, and win the Primaries and the general elections to enable him to bring to bear his engineering prowess in tackling Nigeria’s myriads of challenges,"" the statement read.",Road To 2023: Gov Umahi Moves To Face Presidential Screening Panel May 14
5, https://www.youtube.com/watch?v=0fji44nBFC4,Lagos Mega Projects Completed In Q1 2022.
6,"Abubakar Malami, Attorney-General of the Federation and Minister of Justice, has pulled out of the race to succeed Governor Atiku Bagudu of Kebbi State.After months of speculations, the Minister joined the race last month, appealing to the people for support.APC executives in the ward and local government had pledged their support to the minister.Shortly after, some associates of the minister received exotic cars as gifts. Many of the beneficiaries were workers at the Khadimiyya for Justice and Development Initiative, a foundation he established.This had triggered backlash as some said it was a move to get Malami soft landing ahead of the APC governorship primaries.But on Friday night, Daily Trust gathered that the minster, who was among those President Muhammadu Buhari bade farewell at Aso Rock earlier in the day, had opted out of the race.Sources close to the minister told Daily Trust that Malami had withdrawn from the race.When contacted, Umar Gwandu, his media aide, simply said, “I have not been officially briefed.”Buhari had ordered his appointees with interest in the 2023 election to step down.https://dailytrust.com/breaking-malami-pulls-out-of-kebbi-governorship-race",Malami Pulls Out Of Kebbi Governorship Race
7,"Open Letter To Tuface Idibia- From National Youth Force  2023Sir,FROM THE STREETS TO THE POLLSWe write to you under the Auspices of the NATIONAL YOUTH FORCE which is a representation of the many Nigerian Youths who cry out daily for a stake in credible Governance. It is no longer news that the Government of the day has failed us and indeed have been a recycling of multitude of incompetent hands running the affairs of a country so blessed in its diversity. It is regrettable to note that in spite of a huge human capital and enormous natural resources, unemployment, poverty and insecurity continue to plague us. These current crop of people in Government have consistently divided us against ethnic and religious lines and have at various stages and times consistently refused to address the many National and indeed institutional challenges bedeviling us as a nation. They’d rather milk human tragedy for political profit to the detriment of the citizenry. At this critical time in our electoral landscape, we are faced between terrible choices. Either returning elected, those who are responsible for our sufferings, loss of lives, Police brutality, Banditary, Terrorism, delayed justice, Accidents due to poor infrastructures, air mishap, poor health facilities, Poor education system, poverty and unemployment ravaging our teeming youths population all over the country or bringing back the same individuals that caused us the need to vote in this regrettable change. We do not think that as Nigerians and as youths who control the largest number of voters and influence in our electoral landscape should be made to choose between disaster and catastrophe. We propose a third force which we have herein above stated as the National Youth force. In the National youth force, we propose an over 50 percent of youths in Governance to bring their various global and local experiences to bear in running a Government that is in tandem with modern day political realities. This we can only achieve with a Nigerian president of the youth constituency. Sir, under the leadership of the National youth force, ethnic and religious inclinations would never hinder productivity and progress of this nation. This is reflected when the teeming youths devoid of age, tribe, religion, and in the spirit of our founding fathers and our constitution, defied all odds and came together and protested against the bad Governance prevalent in this country.We need to rally round 'A Youth' to represent us as President of a new Nigeria. It is not new to us that Nigerians continue to see the visions of the old men's leadership called Nigeria of today when it is the young men who should see and take charge of a future they should be part of. We believe that we have come of age to participate in running the affairs of this nation. The National Youth Force has become the strength of our new nation and should neither be neglected nor taken for granted in the affairs of this country, where we can collectively control our future in the face of modern day civilization, digitalization and technological activities.We can't do this without you and other well meaning Nigerians of the youth and digital constituency staking your influence and personality as a true patriot who has always long for a better Nigeria as has been reflected in your music like “for instance” “E be like say” etc. these songs at the time inspired us to rise up in our consciousness to demand for a better Nigeria or otherwise a New Nigeria. Nigerian Youths irrespective of tribe, The Igbos, Hausas, Yorubas, and others need your voice at this moment to invigorate the third force otherwise called the youth force. This is what we should do to create a New Nigeria for us and for our generation yet unborn.On behalf of the Nigerian Youths, we thank you as you give this request a favorable and inspiring response.Best regardsNational Youth Force Convener.Dr Emeka Mandela.https://www.facebook.com/107004405329193/posts/117834184246215/",Open Letter To Tuface Idibia -From National Youth Force  2023
8,"Fellow Nairalanders,Nairaland loves Igbos and Niger Deltans very much. The thought of being separated from them for any reason is unbearable to us, so we have decided that we will reject any attempt by anyone to use Nairaland to promote the idea of removing Igbos and Niger Deltans from Nigeria.We have updated rule 9 of Nairaland to reflect this decision. It now says:9. Don't use Nairaland for illegal acts, e.g scams, plagiarism, hacking, gay meetings, incitement, promoting secession.I'd like to urge all Nairaland members to respect and obey rule 9. Mynd44 is in charge of enforcing it. If you break this rule, you'll be banned.Thanks,Seun (Founder Of Nairaland).",Nairaland Says No To Secessionists
9,"Dear SOUTHEAST PDP delegates,Ever since Peter Obi, a PDP leading presidential aspirant started his tour, the spirit of one Nigeria became resurrected. Obi who is from Anambra state, which is in the very zone Nigerians are clamouring to produce the next president has been touring the country telling Nigerians what he will do if elected–an issue-based campaign.I don't know what is happening or what happened, but, his campaign seems to have dwarfed that of the other aspirants.I had said earlier that PDP by throwing its presidential ticket open is not being fair to the SE. But let's say they want to deceive the APC as the broom party has been waiting to know where the umbrella party will zone their presidential ticket...Nonetheless, the PDP Southeast delegates have to deliver Peter Obi. I am not arrogant about it, so I shall explain why:1. We will not prove to those who say that SE can never come together to achieve one political goal that they have been right all along.2. PDP believes that even if they don't pick a candidate from the Igbo extraction, they have nothing to lose.3. By giving Obi a bloc vote we will be making a strong political statement.4. ""The boy calls you father, do not have a hand in his death""The villagers knew that Ikemefuna would die. The thing is, Okonkwo should not have had a hand in his death.Ikemefuna was young and could have outrun the elderly men. Instead, he turned toward Okonkwo whom he trusted would not hurt him. But, Okonkwo, to show that he was still Okonkwo the great killed the boy that calls him father, whom he loved dearly in return. His life never remained the same. There are some lines one should not cross. Even if people will call you weak or stupid.Don't show us that you are a typical Nigerian politician, show us that you can protect our collective interest as a people. Even if delegates from other zones chose to vote against Peter Obi, do not be part of it. Please deliver Okwute. Do your part and let the universe take it from there.Nigerians across the country–ethnicity, religion and even political parties, said it is the turn of the Igbos from the SE to produce the next president, the name Peter Obi has been ringing loudly across the nation. If you deliver Peter, he will win the main election. Whatever happens, let it not be said or heard that the Southeast delegates did not vote for nwanne ha. It will be a thing of shame and ridicule and will affect your own political career. Izu kakwa mma na nneji.5. Most importantly, Mr Peter Gregory Obi, is competent.By Nnenna Oparaocha@mynd44 OAM4J","Peter Obi Stand A Good Chance If SE, PDP Give Him Their Bloc Votes."
10,"2023 Presidency: Christians won’t vote Muslim-Muslim presidential candidates — PFN*It would be wrong for President Buhari not to hand over to a Christian after 8 years.*The killers of Deborah deserve the punishment for killers.By Timothy Agbor, OsogboThe National President of Pentecostal Fellowship of Nigeria (PFN), Bishop Francis Wale Oke, yesterday, declared that Christians will not support any political party that fields Muslim-Muslim ticket in the 2023 polls.Bishop Oke made this known in Osogbo, Osun State, during the celebration of 30th anniversary of PFN in the state.Oke, in a statement, by the state Director of Media, Bishop Seun Adeoye explained that Nigeria is a secular state and that Christians will not fold their arms to allow a situation where the president and the vice-president would be Muslims.According to him, it would also be wrong for a Muslim to take over from President Muhammadu Buhari after eight years as president.“The Church in Nigeria is saying no to a Muslim-Muslim ticket. We are going to mobilise the church against such political party. PFN has 65 million people and we will vote against such party.”He said: “Obasanjo handed over to Yar’adua, Yar’adua to Jonathan and Jonathan to Buhari and who else should Buhari hand over to if not a Christian?”Oke called on all PFN members to ensure they possess their Permanent Voter Cards (PVC) and should vote out any bad government.On the killing of Deborah Samuel in Sokoto, the PFN President condemned those who killed in the name of religion, adding that killing in the name of religion is barbaric, unrighteous, ungodly and demonic. “We want killings in the name of religion to stop in Nigeria.“It is regrettable that one of our daughters was stoned to death and set ablaze. We urge all religion leaders in Nigeria to educate their adherents. Nigeria is not again in Stone Age. It is a criminal offence and the killers should be fished out and brought to book.”They are killers and the punishment meant for killers be meted on them,” he said.In his speech, the Governor of Osun State, Alhaji Adegboyega Oyetola, represented by his deputy, Mr. Gboyega Alabi, explained that the roles being played by his government in ensuring peace in the state.The National Vice-President (South-West), Archbishop John Alagbala Osa-Oni and the state Chairman of PFN, Prophet Isaiah Adelowokan, noted that the PFN in the zone and the state are fully committed to the PFN 10 point agenda.Source: The Punch",2023 Presidency: Christians Won’t Vote Muslim-muslim Presidential Candidates-pfn
11,"Members of the All Progressives Congress in Kaduna State have begged former the national leader of the party and presidential aspirant, Asiwaju Bola Tinubu, to pick Kano State Governor, Mallam Nasir El-Rufai, as his running mate in the 2023 presidential race.Tinubu had last Thursday visited Kaduna to canvass for the votes of the 69 Kaduna APC delegates ahead of the party’s presidential primary.The presidential hopeful had told the delegates that he was confident that he would be the nation’s next President when the incumbent President, Major General Muhammadu Buhari (retd.), bows out next year.Tinubu had said, “Some are running, I don’t know to where they are going but I am going to the Villa.”Against this background, the Kaduna PDP delegates unanimously endorsed Tinubu, while the Kaduna chapter of the APC pleaded with Tinubu to pick El-Rufai as his running mate.Speaking on behalf of the Kaduna delegates, the lawmaker representing Sabon Gari, Kaduna Federal Constituency and Chairman, House Committee on Ports and Harbours,  Garba  Babawo, appealed to Tinubu to pick El-rufai as his running mate.Babawo said, “We have a request for you (Tinubu), sir. What I’m about to say I did not tell our governor because I know if I tell him he would not support it. We want you to take our governor as your running mate. “We don’t want him to go and settle outside the country after the election because we know his plan. His plan is to leave the country and live in overseas after his tenure as the governor. But we want him to serve the country as your running mate”.Meanwhile, unconfirmed reports said Tinubu gifted the delegates with N60m.Earlier, in his remarks at the event, a former governor of Borno State, Senator Kashim Shettima, had said that Tinubu had the leadership attributes of all the past leaders of the country, particularly the humility and peace-loving nature of General Yakubu Gowon.Shettima added that Tinubu also had some attributes of General Ibrahim Babangida and the late General Sani Abacha in Tinubu.https://punchng.com/el-rufai-plans-to-live-abroad-after-tenure-kaduna-reps/","Kaduna PDP Delegates Endorse Tinubu, APC Delegates Ask For El-Rufai As VP"
